date,open,high,low,close,volume
2018-06-28 14:01:00,7.7474,7.7683,7.7474,7.764,3119.78740015
2018-06-28 14:00:00,7.73,7.7457,7.7299,7.7455,6775.61168091
2018-06-28 13:59:00,7.729,7.7398,7.729,7.73,6835.51351054
2018-06-28 13:58:00,7.74,7.74,7.72,7.7352,13108.5246
2018-06-28 13:57:00,7.7405,7.7554,7.7326,7.74,4595.70004097
2018-06-28 13:56:00,7.726,7.7567,7.7235,7.7374,16005.33023505
2018-06-28 13:55:00,7.7118,7.7273,7.7099,7.7273,4060.77137272
2018-06-28 13:54:00,7.722,7.724,7.7135,7.7135,6664.682642
2018-06-28 13:53:00,7.7208,7.7255,7.72,7.723,5443.7265
2018-06-28 13:52:00,7.7249,7.7265,7.72,7.7205,8665.96912247
2018-06-28 13:51:00,7.726,7.7295,7.7201,7.7202,5116.4915
2018-06-28 13:50:00,7.7585,7.7632,7.695,7.726,54335.37949314
2018-06-28 13:49:00,7.709,7.7784,7.7049,7.7539,38335.84158039
2018-06-28 13:48:00,7.7986,7.7986,7.705,7.7193,92957.38919428
2018-06-28 13:47:00,7.8065,7.8065,7.795,7.7977,195.29314324
2018-06-28 13:46:00,7.7956,7.8141,7.7956,7.805,2317.60054171
2018-06-28 13:45:00,7.7954,7.7957,7.7954,7.7956,534.82460357
2018-06-28 13:44:00,7.798,7.798,7.7951,7.7955,311.01807889
2018-06-28 13:43:00,7.8008,7.8008,7.8,7.8,594.73667492
2018-06-28 13:42:00,7.8036,7.8036,7.8017,7.8017,779.71779182
2018-06-28 13:41:00,7.8034,7.8037,7.8024,7.8024,652.7227267
2018-06-28 13:40:00,7.8072,7.8072,7.8039,7.8039,597.04413482
2018-06-28 13:38:00,7.8039,7.8176,7.8029,7.8176,267.28741601
2018-06-28 13:37:00,7.8239,7.8239,7.803,7.803,8952.33491546
2018-06-28 13:36:00,7.8239,7.824,7.8239,7.824,5001.33938871
2018-06-28 13:35:00,7.8239,7.824,7.8239,7.8239,5655.57858275
2018-06-28 13:34:00,7.8239,7.824,7.8239,7.8239,6778.90531924
2018-06-28 13:33:00,7.8239,7.8239,7.8239,7.8239,2000.0
2018-06-28 13:32:00,7.8239,7.8239,7.8239,7.8239,3077.5270631
2018-06-28 13:31:00,7.8239,7.8239,7.8239,7.8239,3690.0
2018-06-28 13:30:00,7.8199,7.8239,7.8199,7.8239,3750.94206188
2018-06-28 13:29:00,7.821,7.8211,7.821,7.821,294.27059225
2018-06-28 13:26:00,7.8216,7.8216,7.8216,7.8216,61.88270177
2018-06-28 13:25:00,7.833,7.833,7.8229,7.8229,218.67135501
2018-06-28 13:24:00,7.83,7.8307,7.83,7.8307,1107.217614
2018-06-28 13:23:00,7.8097,7.8286,7.8097,7.8286,1902.5
2018-06-28 13:22:00,7.802,7.8109,7.802,7.8109,1437.47960648
2018-06-28 13:20:00,7.803,7.803,7.80206222,7.80206222,500.0
2018-06-28 13:19:00,7.7974,7.8131,7.7974,7.8131,3038.4023112
2018-06-28 13:18:00,7.795,7.7986,7.795,7.7986,104.27699501
2018-06-28 13:17:00,7.7988,7.7989,7.7988,7.7989,10.0
2018-06-28 13:15:00,7.8,7.8,7.8,7.8,24.6268
2018-06-28 13:14:00,7.8002,7.8002,7.8002,7.8002,100.0
2018-06-28 13:12:00,7.8,7.8,7.8,7.8,12.3732
2018-06-28 13:11:00,7.792,7.8,7.7917,7.7999,1493.341948
