,收益
"[20, 4],20T,",1.2776631293194753
"[330, 3.5],5T,",1.27757435243755
"[70, 2],5T,",1.2763319481855768
"[170, 3.5],10T,",1.274716207511846
"[110, 3.5],15T,",1.273163320824253
"[200, 3.5],5T,",1.2721754531253626
"[90, 2.5],10T,",1.2681963424165665
"[60, 4],25T,",1.2570349146918225
"[390, 3.5],5T,",1.2548297706450549
"[200, 3.5],10T,",1.2531265781812633
"[40, 2],15T,",1.2512904144184631
"[100, 4],10T,",1.2467233701370195
"[120, 3.5],15T,",1.241627802832723
"[120, 3],15T,",1.241627802832723
"[400, 3.5],5T,",1.2406608472194538
"[50, 2.5],20T,",1.2398414944409675
"[50, 4],30T,",1.2347994007715455
"[70, 3.5],5T,",1.2336160117527
"[50, 3],20T,",1.2295881512392168
"[80, 4],15T,",1.2270951487996116
"[140, 3.5],15T,",1.226240333893529
"[380, 3.5],5T,",1.2178869037392677
"[30, 2.5],25T,",1.217445994700085
"[20, 3.5],15T,",1.2157605366878839
"[210, 3.5],10T,",1.2135481306071634
"[180, 2.5],5T,",1.2111576798529007
"[190, 4],5T,",1.2086774542828074
"[100, 3],20T,",1.205526074871324
"[210, 3.5],5T,",1.204142858383324
"[200, 4],5T,",1.2038197591277016
"[20, 2.5],25T,",1.1967722122923339
"[40, 2],20T,",1.195435068422619
"[150, 3.5],15T,",1.1897020238754215
"[30, 3.5],5T,",1.1848693350832038
"[40, 3.5],25T,",1.1829226835255997
"[20, 3],20T,",1.177433729135568
"[150, 1.5],5T,",1.1709462997858264
"[40, 2.5],10T,",1.1677796078361986
"[30, 2],25T,",1.1653934114403763
"[40, 4],30T,",1.1569113319744566
"[30, 4],5T,",1.1557760007071634
"[50, 3.5],20T,",1.1534168433658583
"[170, 2],5T,",1.1513781669088747
"[180, 4],5T,",1.1511028905103946
"[30, 3.5],10T,",1.146072979014027
"[50, 3],5T,",1.138691392368942
"[190, 3],5T,",1.1321783773005214
"[40, 3],20T,",1.1310275763970794
"[90, 4],10T,",1.1284683525186163
"[190, 2],5T,",1.128001547457085
"[290, 3.5],5T,",1.1272561180192953
"[280, 3.5],5T,",1.1272561180192953
"[30, 4],15T,",1.1237301530442658
"[110, 3.5],10T,",1.123661518385054
"[70, 3.5],15T,",1.1202202150359082
"[60, 4],20T,",1.1172986335651325
"[60, 4],15T,",1.1157051570764762
"[180, 3],5T,",1.1108727609215012
"[210, 4],5T,",1.1100835891438297
"[30, 4],10T,",1.1093813668895165
"[260, 4],5T,",1.1062392459374708
"[130, 4],10T,",1.1050225303063776
"[70, 3],30T,",1.0917116906819349
"[20, 1.5],30T,",1.0913023782808464
"[70, 4],20T,",1.0881813633579664
"[70, 4],15T,",1.086861719736267
"[40, 2.5],25T,",1.0843491756579782
"[90, 4],15T,",1.0813139072426257
"[270, 3.5],5T,",1.0796343886184903
"[100, 3],10T,",1.076549310339541
"[20, 3],15T,",1.0694599891901002
"[60, 2],10T,",1.0650726681794074
"[100, 3.5],15T,",1.0636773044834429
"[100, 2],10T,",1.0580041317719955
"[30, 2],30T,",1.0564477100471175
"[40, 3.5],5T,",1.055723482123472
"[80, 2],5T,",1.0550627991165649
"[40, 4],5T,",1.047537872397287
"[40, 2],10T,",1.0446548122611037
"[30, 2.5],15T,",1.0414773971926534
"[200, 3],10T,",1.0398724481651025
"[210, 2],5T,",1.039513055320489
"[270, 4],5T,",1.0327362283587989
"[140, 4],10T,",1.031737709075629
"[400, 3],5T,",1.0295281059421177
"[390, 2],5T,",1.0267631599211386
"[410, 3],5T,",1.0187854558961047
"[410, 3.5],5T,",1.018696624621527
"[140, 3],15T,",1.0175616416143172
"[400, 2],5T,",1.0166502592548912
"[220, 3.5],5T,",1.0133325360506058
"[80, 2],10T,",1.012128734729916
"[410, 2],5T,",1.0073221043206984
"[210, 3],10T,",1.0070293675936366
"[110, 4],30T,",1.0
"[450, 4],30T,",1.0
"[320, 4],30T,",1.0
"[480, 4],25T,",1.0
"[150, 4],30T,",1.0
"[420, 4],30T,",1.0
"[230, 4],30T,",1.0
"[190, 4],30T,",1.0
"[270, 4],30T,",1.0
"[280, 4],30T,",1.0
"[220, 4],30T,",1.0
"[180, 4],30T,",1.0
"[260, 4],30T,",1.0
"[310, 4],30T,",1.0
"[250, 4],30T,",1.0
